ABA_ADJ;Abbasidian;Abbasidian;Abbasidian;;;;;;;;;;;x;
ABA;Abbasid Caliphate;Abbasid Caliphate;Abbasid Caliphate;;;;;;;;;;;x;
ABA_proletarian_dictatorship;Abbasid Caliphate;Abbasid Caliphate;Abbasid Caliphate;;;;;;;;;;;x;
ABA_presidential_dictatorship;Abbasid Caliphate;Abbasid Caliphate;Abbasid Caliphate;;;;;;;;;;;x;
ABA_bourgeois_dictatorship;Abbasid Caliphate;Abbasid Caliphate;Abbasid Caliphate;;;;;;;;;;;x;
ABA_fascist_dictatorship;Abbasid Caliphate;Abbasid Caliphate;Abbasid Caliphate;;;;;;;;;;;x;
ABA_absolute_monarchy;Abbasid Caliphate;Abbasid Caliphate;Abbasid Caliphate;;;;;;;;;;;x;
ABA_prussian_constitutionalism;Abbasid Caliphate;Abbasid Caliphate;Abbasid Caliphate;;;;;;;;;;;x;
ABA_hms_government;Abbasid Caliphate;Abbasid Caliphate;Abbasid Caliphate;;;;;;;;;;;x;
ABA_democracy;Abbasid Caliphate;Abbasid Caliphate;Abbasid Caliphate;;;;;;;;;;;x;
ABA_conservative_92;Conservatives;Conservatives;Conservatives;;;;;;;;;;;x;
ABA_liberal_79;Liberals;Liberals;Liberals;;;;;;;;;;;x;
ABA_liberal_87;National Liberals;National Liberals;National Liberals;;;;;;;;;;;x;
ABA_socialist_85;Socialists;Socialists;Socialists;;;;;;;;;;;x;
ABA_socialist_99;National Socialists;National Socialists;National Socialists;;;;;;;;;;;x;
ABA_reactionary_84;Monarchy Leadership;Monarchy Leadership;Monarchy Leadership;;;;;;;;;;;x;
ABA_anarcho_liberal_93;Radical Liberals;Radical Liberals;Radical Liberals;;;;;;;;;;;x;
ABA_communist_86;Communists;Communists;Communists;;;;;;;;;;;x;
ABA_fascist_72;Fascists;Fascists;Fascists;;;;;;;;;;;x;
