ALP_ADJ;Alpine;Alpine;Alpine;;;;;;;;;;;x;
ALP;Alpine Federation;Alpine Federation;Alpine Federation;;;;;;;;;;;x;
ALP_proletarian_dictatorship;Alpine Federation;Alpine Federation;Alpine Federation;;;;;;;;;;;x;
ALP_presidential_dictatorship;Alpine Federation;Alpine Federation;Alpine Federation;;;;;;;;;;;x;
ALP_bourgeois_dictatorship;Alpine Federation;Alpine Federation;Alpine Federation;;;;;;;;;;;x;
ALP_fascist_dictatorship;Alpine Federation;Alpine Federation;Alpine Federation;;;;;;;;;;;x;
ALP_absolute_monarchy;Alpine Federation;Alpine Federation;Alpine Federation;;;;;;;;;;;x;
ALP_prussian_constitutionalism;Alpine Federation;Alpine Federation;Alpine Federation;;;;;;;;;;;x;
ALP_hms_government;Alpine Federation;Alpine Federation;Alpine Federation;;;;;;;;;;;x;
ALP_democracy;Alpine Federation;Alpine Federation;Alpine Federation;;;;;;;;;;;x;
ALP_conservative_92;Conservatives;Conservatives;Conservatives;;;;;;;;;;;x;
ALP_liberal_79;Liberals;Liberals;Liberals;;;;;;;;;;;x;
ALP_liberal_87;National Liberals;National Liberals;National Liberals;;;;;;;;;;;x;
ALP_socialist_85;Socialists;Socialists;Socialists;;;;;;;;;;;x;
ALP_socialist_99;National Socialists;National Socialists;National Socialists;;;;;;;;;;;x;
ALP_reactionary_84;Monarchy Leadership;Monarchy Leadership;Monarchy Leadership;;;;;;;;;;;x;
ALP_anarcho_liberal_93;Radical Liberals;Radical Liberals;Radical Liberals;;;;;;;;;;;x;
ALP_communist_86;Communists;Communists;Communists;;;;;;;;;;;x;
ALP_fascist_72;Fascists;Fascists;Fascists;;;;;;;;;;;x;
