ANG_ADJ;East Anglican;East Anglican;East Anglican;;;;;;;;;;;x;
ANG;East Anglica;East Anglica;East Anglica;;;;;;;;;;;x;
ANG_proletarian_dictatorship;East Anglica;East Anglica;East Anglica;;;;;;;;;;;x;
ANG_presidential_dictatorship;East Anglica;East Anglica;East Anglica;;;;;;;;;;;x;
ANG_bourgeois_dictatorship;East Anglica;East Anglica;East Anglica;;;;;;;;;;;x;
ANG_fascist_dictatorship;East Anglica;East Anglica;East Anglica;;;;;;;;;;;x;
ANG_absolute_monarchy;East Anglica;East Anglica;East Anglica;;;;;;;;;;;x;
ANG_prussian_constitutionalism;East Anglica;East Anglica;East Anglica;;;;;;;;;;;x;
ANG_hms_government;East Anglica;East Anglica;East Anglica;;;;;;;;;;;x;
ANG_democracy;East Anglica;East Anglica;East Anglica;;;;;;;;;;;x;
ANG_conservative_92;Conservatives;Conservatives;Conservatives;;;;;;;;;;;x;
ANG_liberal_79;Liberals;Liberals;Liberals;;;;;;;;;;;x;
ANG_liberal_87;National Liberals;National Liberals;National Liberals;;;;;;;;;;;x;
ANG_socialist_85;Socialists;Socialists;Socialists;;;;;;;;;;;x;
ANG_socialist_99;National Socialists;National Socialists;National Socialists;;;;;;;;;;;x;
ANG_reactionary_84;Monarchy Leadership;Monarchy Leadership;Monarchy Leadership;;;;;;;;;;;x;
ANG_anarcho_liberal_93;Radical Liberals;Radical Liberals;Radical Liberals;;;;;;;;;;;x;
ANG_communist_86;Communists;Communists;Communists;;;;;;;;;;;x;
ANG_fascist_72;Fascists;Fascists;Fascists;;;;;;;;;;;x;
