AZT_ADJ;Aztec;Aztec;Aztec;;;;;;;;;;;x;
AZT;Aztec Empire;Aztec Empire;Aztec Empire;;;;;;;;;;;x;
AZT_proletarian_dictatorship;Aztec Empire;Aztec Empire;Aztec Empire;;;;;;;;;;;x;
AZT_presidential_dictatorship;Aztec Empire;Aztec Empire;Aztec Empire;;;;;;;;;;;x;
AZT_bourgeois_dictatorship;Aztec Empire;Aztec Empire;Aztec Empire;;;;;;;;;;;x;
AZT_fascist_dictatorship;Aztec Empire;Aztec Empire;Aztec Empire;;;;;;;;;;;x;
AZT_absolute_monarchy;Aztec Empire;Aztec Empire;Aztec Empire;;;;;;;;;;;x;
AZT_prussian_constitutionalism;Aztec Empire;Aztec Empire;Aztec Empire;;;;;;;;;;;x;
AZT_hms_government;Aztec Empire;Aztec Empire;Aztec Empire;;;;;;;;;;;x;
AZT_democracy;Aztec Empire;Aztec Empire;Aztec Empire;;;;;;;;;;;x;
AZT_conservative_92;Conservatives;Conservatives;Conservatives;;;;;;;;;;;x;
AZT_liberal_79;Liberals;Liberals;Liberals;;;;;;;;;;;x;
AZT_liberal_87;National Liberals;National Liberals;National Liberals;;;;;;;;;;;x;
AZT_socialist_85;Socialists;Socialists;Socialists;;;;;;;;;;;x;
AZT_socialist_99;National Socialists;National Socialists;National Socialists;;;;;;;;;;;x;
AZT_reactionary_84;Monarchy Leadership;Monarchy Leadership;Monarchy Leadership;;;;;;;;;;;x;
AZT_anarcho_liberal_93;Radical Liberals;Radical Liberals;Radical Liberals;;;;;;;;;;;x;
AZT_communist_86;Communists;Communists;Communists;;;;;;;;;;;x;
AZT_fascist_72;Fascists;Fascists;Fascists;;;;;;;;;;;x;
