BIE_ADJ;Bielskoi;Bielskoi;Bielskoi;;;;;;;;;;;x;
BIE;Bielsko;Bielsko;Bielsko;;;;;;;;;;;x;
BIE_proletarian_dictatorship;Bielsko;Bielsko;Bielsko;;;;;;;;;;;x;
BIE_presidential_dictatorship;Bielsko;Bielsko;Bielsko;;;;;;;;;;;x;
BIE_bourgeois_dictatorship;Bielsko;Bielsko;Bielsko;;;;;;;;;;;x;
BIE_fascist_dictatorship;Bielsko;Bielsko;Bielsko;;;;;;;;;;;x;
BIE_absolute_monarchy;Bielsko;Bielsko;Bielsko;;;;;;;;;;;x;
BIE_prussian_constitutionalism;Bielsko;Bielsko;Bielsko;;;;;;;;;;;x;
BIE_hms_government;Bielsko;Bielsko;Bielsko;;;;;;;;;;;x;
BIE_democracy;Bielsko;Bielsko;Bielsko;;;;;;;;;;;x;
BIE_conservative_92;Conservatives;Conservatives;Conservatives;;;;;;;;;;;x;
BIE_liberal_79;Liberals;Liberals;Liberals;;;;;;;;;;;x;
BIE_liberal_87;National Liberals;National Liberals;National Liberals;;;;;;;;;;;x;
BIE_socialist_85;Socialists;Socialists;Socialists;;;;;;;;;;;x;
BIE_socialist_99;National Socialists;National Socialists;National Socialists;;;;;;;;;;;x;
BIE_reactionary_84;Monarchy Leadership;Monarchy Leadership;Monarchy Leadership;;;;;;;;;;;x;
BIE_anarcho_liberal_93;Radical Liberals;Radical Liberals;Radical Liberals;;;;;;;;;;;x;
BIE_communist_86;Communists;Communists;Communists;;;;;;;;;;;x;
BIE_fascist_72;Fascists;Fascists;Fascists;;;;;;;;;;;x;
