COR_ADJ;Cornwelsh;Cornwelsh;Cornwelsh;;;;;;;;;;;x;
COR;Cornwall;Cornwall;Cornwall;;;;;;;;;;;x;
COR_proletarian_dictatorship;Cornwall;Cornwall;Cornwall;;;;;;;;;;;x;
COR_presidential_dictatorship;Cornwall;Cornwall;Cornwall;;;;;;;;;;;x;
COR_bourgeois_dictatorship;Cornwall;Cornwall;Cornwall;;;;;;;;;;;x;
COR_fascist_dictatorship;Cornwall;Cornwall;Cornwall;;;;;;;;;;;x;
COR_absolute_monarchy;Cornwall;Cornwall;Cornwall;;;;;;;;;;;x;
COR_prussian_constitutionalism;Cornwall;Cornwall;Cornwall;;;;;;;;;;;x;
COR_hms_government;Cornwall;Cornwall;Cornwall;;;;;;;;;;;x;
COR_democracy;Cornwall;Cornwall;Cornwall;;;;;;;;;;;x;
COR_conservative_92;Conservatives;Conservatives;Conservatives;;;;;;;;;;;x;
COR_liberal_79;Liberals;Liberals;Liberals;;;;;;;;;;;x;
COR_liberal_87;National Liberals;National Liberals;National Liberals;;;;;;;;;;;x;
COR_socialist_85;Socialists;Socialists;Socialists;;;;;;;;;;;x;
COR_socialist_99;National Socialists;National Socialists;National Socialists;;;;;;;;;;;x;
COR_reactionary_84;Monarchy Leadership;Monarchy Leadership;Monarchy Leadership;;;;;;;;;;;x;
COR_anarcho_liberal_93;Radical Liberals;Radical Liberals;Radical Liberals;;;;;;;;;;;x;
COR_communist_86;Communists;Communists;Communists;;;;;;;;;;;x;
COR_fascist_72;Fascists;Fascists;Fascists;;;;;;;;;;;x;
