CRN_ADJ;Chernigovian;Chernigovian;Chernigovian;;;;;;;;;;;x;
CRN;Chernigov;Chernigov;Chernigov;;;;;;;;;;;x;
CRN_proletarian_dictatorship;Chernigov;Chernigov;Chernigov;;;;;;;;;;;x;
CRN_presidential_dictatorship;Chernigov;Chernigov;Chernigov;;;;;;;;;;;x;
CRN_bourgeois_dictatorship;Chernigov;Chernigov;Chernigov;;;;;;;;;;;x;
CRN_fascist_dictatorship;Chernigov;Chernigov;Chernigov;;;;;;;;;;;x;
CRN_absolute_monarchy;Chernigov;Chernigov;Chernigov;;;;;;;;;;;x;
CRN_prussian_constitutionalism;Chernigov;Chernigov;Chernigov;;;;;;;;;;;x;
CRN_hms_government;Chernigov;Chernigov;Chernigov;;;;;;;;;;;x;
CRN_democracy;Chernigov;Chernigov;Chernigov;;;;;;;;;;;x;
CRN_conservative_92;Conservatives;Conservatives;Conservatives;;;;;;;;;;;x;
CRN_liberal_79;Liberals;Liberals;Liberals;;;;;;;;;;;x;
CRN_liberal_87;National Liberals;National Liberals;National Liberals;;;;;;;;;;;x;
CRN_socialist_85;Socialists;Socialists;Socialists;;;;;;;;;;;x;
CRN_socialist_99;National Socialists;National Socialists;National Socialists;;;;;;;;;;;x;
CRN_reactionary_84;Monarchy Leadership;Monarchy Leadership;Monarchy Leadership;;;;;;;;;;;x;
CRN_anarcho_liberal_93;Radical Liberals;Radical Liberals;Radical Liberals;;;;;;;;;;;x;
CRN_communist_86;Communists;Communists;Communists;;;;;;;;;;;x;
CRN_fascist_72;Fascists;Fascists;Fascists;;;;;;;;;;;x;
