DAN_ADJ;Danzig;Danzig;Danzig;;;;;;;;;;;x;
DAN;Danzig;Danzig;Danzig;;;;;;;;;;;x;
DAN_proletarian_dictatorship;Danzig;Danzig;Danzig;;;;;;;;;;;x;
DAN_presidential_dictatorship;Danzig;Danzig;Danzig;;;;;;;;;;;x;
DAN_bourgeois_dictatorship;Danzig;Danzig;Danzig;;;;;;;;;;;x;
DAN_fascist_dictatorship;Danzig;Danzig;Danzig;;;;;;;;;;;x;
DAN_absolute_monarchy;Danzig;Danzig;Danzig;;;;;;;;;;;x;
DAN_prussian_constitutionalism;Danzig;Danzig;Danzig;;;;;;;;;;;x;
DAN_hms_government;Danzig;Danzig;Danzig;;;;;;;;;;;x;
DAN_democracy;Danzig;Danzig;Danzig;;;;;;;;;;;x;
DAN_conservative_92;Conservatives;Conservatives;Conservatives;;;;;;;;;;;x;
DAN_liberal_79;Liberals;Liberals;Liberals;;;;;;;;;;;x;
DAN_liberal_87;National Liberals;National Liberals;National Liberals;;;;;;;;;;;x;
DAN_socialist_85;Socialists;Socialists;Socialists;;;;;;;;;;;x;
DAN_socialist_99;National Socialists;National Socialists;National Socialists;;;;;;;;;;;x;
DAN_reactionary_84;Monarchy Leadership;Monarchy Leadership;Monarchy Leadership;;;;;;;;;;;x;
DAN_anarcho_liberal_93;Radical Liberals;Radical Liberals;Radical Liberals;;;;;;;;;;;x;
DAN_communist_86;Communists;Communists;Communists;;;;;;;;;;;x;
DAN_fascist_72;Fascists;Fascists;Fascists;;;;;;;;;;;x;
