LAR_ADJ;Larrisan;Larrisan;Larrisan;;;;;;;;;;;x;
LAR;Larrisa;Larrisa;Larrisa;;;;;;;;;;;x;
LAR_proletarian_dictatorship;Larrisa;Larrisa;Larrisa;;;;;;;;;;;x;
LAR_presidential_dictatorship;Larrisa;Larrisa;Larrisa;;;;;;;;;;;x;
LAR_bourgeois_dictatorship;Larrisa;Larrisa;Larrisa;;;;;;;;;;;x;
LAR_fascist_dictatorship;Larrisa;Larrisa;Larrisa;;;;;;;;;;;x;
LAR_absolute_monarchy;Larrisa;Larrisa;Larrisa;;;;;;;;;;;x;
LAR_prussian_constitutionalism;Larrisa;Larrisa;Larrisa;;;;;;;;;;;x;
LAR_hms_government;Larrisa;Larrisa;Larrisa;;;;;;;;;;;x;
LAR_democracy;Larrisa;Larrisa;Larrisa;;;;;;;;;;;x;
LAR_conservative_92;Conservatives;Conservatives;Conservatives;;;;;;;;;;;x;
LAR_liberal_79;Liberals;Liberals;Liberals;;;;;;;;;;;x;
LAR_liberal_87;National Liberals;National Liberals;National Liberals;;;;;;;;;;;x;
LAR_socialist_85;Socialists;Socialists;Socialists;;;;;;;;;;;x;
LAR_socialist_99;National Socialists;National Socialists;National Socialists;;;;;;;;;;;x;
LAR_reactionary_84;Monarchy Leadership;Monarchy Leadership;Monarchy Leadership;;;;;;;;;;;x;
LAR_anarcho_liberal_93;Radical Liberals;Radical Liberals;Radical Liberals;;;;;;;;;;;x;
LAR_communist_86;Communists;Communists;Communists;;;;;;;;;;;x;
LAR_fascist_72;Fascists;Fascists;Fascists;;;;;;;;;;;x;
