LMN_ADJ;Lemnosian;Lemnosian;Lemnosian;;;;;;;;;;;x;
LMN;Lemnos;Lemnos;Lemnos;;;;;;;;;;;x;
LMN_proletarian_dictatorship;Lemnos;Lemnos;Lemnos;;;;;;;;;;;x;
LMN_presidential_dictatorship;Lemnos;Lemnos;Lemnos;;;;;;;;;;;x;
LMN_bourgeois_dictatorship;Lemnos;Lemnos;Lemnos;;;;;;;;;;;x;
LMN_fascist_dictatorship;Lemnos;Lemnos;Lemnos;;;;;;;;;;;x;
LMN_absolute_monarchy;Lemnos;Lemnos;Lemnos;;;;;;;;;;;x;
LMN_prussian_constitutionalism;Lemnos;Lemnos;Lemnos;;;;;;;;;;;x;
LMN_hms_government;Lemnos;Lemnos;Lemnos;;;;;;;;;;;x;
LMN_democracy;Lemnos;Lemnos;Lemnos;;;;;;;;;;;x;
LMN_conservative_92;Conservatives;Conservatives;Conservatives;;;;;;;;;;;x;
LMN_liberal_79;Liberals;Liberals;Liberals;;;;;;;;;;;x;
LMN_liberal_87;National Liberals;National Liberals;National Liberals;;;;;;;;;;;x;
LMN_socialist_85;Socialists;Socialists;Socialists;;;;;;;;;;;x;
LMN_socialist_99;National Socialists;National Socialists;National Socialists;;;;;;;;;;;x;
LMN_reactionary_84;Monarchy Leadership;Monarchy Leadership;Monarchy Leadership;;;;;;;;;;;x;
LMN_anarcho_liberal_93;Radical Liberals;Radical Liberals;Radical Liberals;;;;;;;;;;;x;
LMN_communist_86;Communists;Communists;Communists;;;;;;;;;;;x;
LMN_fascist_72;Fascists;Fascists;Fascists;;;;;;;;;;;x;
