NAN_ADJ;Nancian;Nancian;Nancian;;;;;;;;;;;x;
NAN;Nancy;Nancy;Nancy;;;;;;;;;;;x;
NAN_proletarian_dictatorship;Nancy;Nancy;Nancy;;;;;;;;;;;x;
NAN_presidential_dictatorship;Nancy;Nancy;Nancy;;;;;;;;;;;x;
NAN_bourgeois_dictatorship;Nancy;Nancy;Nancy;;;;;;;;;;;x;
NAN_fascist_dictatorship;Nancy;Nancy;Nancy;;;;;;;;;;;x;
NAN_absolute_monarchy;Nancy;Nancy;Nancy;;;;;;;;;;;x;
NAN_prussian_constitutionalism;Nancy;Nancy;Nancy;;;;;;;;;;;x;
NAN_hms_government;Nancy;Nancy;Nancy;;;;;;;;;;;x;
NAN_democracy;Nancy;Nancy;Nancy;;;;;;;;;;;x;
NAN_conservative_92;Conservatives;Conservatives;Conservatives;;;;;;;;;;;x;
NAN_liberal_79;Liberals;Liberals;Liberals;;;;;;;;;;;x;
NAN_liberal_87;National Liberals;National Liberals;National Liberals;;;;;;;;;;;x;
NAN_socialist_85;Socialists;Socialists;Socialists;;;;;;;;;;;x;
NAN_socialist_99;National Socialists;National Socialists;National Socialists;;;;;;;;;;;x;
NAN_reactionary_84;Monarchy Leadership;Monarchy Leadership;Monarchy Leadership;;;;;;;;;;;x;
NAN_anarcho_liberal_93;Radical Liberals;Radical Liberals;Radical Liberals;;;;;;;;;;;x;
NAN_communist_86;Communists;Communists;Communists;;;;;;;;;;;x;
NAN_fascist_72;Fascists;Fascists;Fascists;;;;;;;;;;;x;
