NIK_ADJ;Nicean;Nicean;Nicean;;;;;;;;;;;x;
NIK;Nicea;Nicea;Nicea;;;;;;;;;;;x;
NIK_proletarian_dictatorship;Nicea;Nicea;Nicea;;;;;;;;;;;x;
NIK_presidential_dictatorship;Nicea;Nicea;Nicea;;;;;;;;;;;x;
NIK_bourgeois_dictatorship;Nicea;Nicea;Nicea;;;;;;;;;;;x;
NIK_fascist_dictatorship;Nicea;Nicea;Nicea;;;;;;;;;;;x;
NIK_absolute_monarchy;Nicea;Nicea;Nicea;;;;;;;;;;;x;
NIK_prussian_constitutionalism;Nicea;Nicea;Nicea;;;;;;;;;;;x;
NIK_hms_government;Nicea;Nicea;Nicea;;;;;;;;;;;x;
NIK_democracy;Nicea;Nicea;Nicea;;;;;;;;;;;x;
NIK_conservative_92;Conservatives;Conservatives;Conservatives;;;;;;;;;;;x;
NIK_liberal_79;Liberals;Liberals;Liberals;;;;;;;;;;;x;
NIK_liberal_87;National Liberals;National Liberals;National Liberals;;;;;;;;;;;x;
NIK_socialist_85;Socialists;Socialists;Socialists;;;;;;;;;;;x;
NIK_socialist_99;National Socialists;National Socialists;National Socialists;;;;;;;;;;;x;
NIK_reactionary_84;Monarchy Leadership;Monarchy Leadership;Monarchy Leadership;;;;;;;;;;;x;
NIK_anarcho_liberal_93;Radical Liberals;Radical Liberals;Radical Liberals;;;;;;;;;;;x;
NIK_communist_86;Communists;Communists;Communists;;;;;;;;;;;x;
NIK_fascist_72;Fascists;Fascists;Fascists;;;;;;;;;;;x;
