SPR_ADJ;Spartan;Spartan;Spartan;;;;;;;;;;;x;
SPR;Spartan;Spartan;Spartan;;;;;;;;;;;x;
SPR_proletarian_dictatorship;Spartan;Spartan;Spartan;;;;;;;;;;;x;
SPR_presidential_dictatorship;Spartan;Spartan;Spartan;;;;;;;;;;;x;
SPR_bourgeois_dictatorship;Spartan;Spartan;Spartan;;;;;;;;;;;x;
SPR_fascist_dictatorship;Spartan;Spartan;Spartan;;;;;;;;;;;x;
SPR_absolute_monarchy;Spartan;Spartan;Spartan;;;;;;;;;;;x;
SPR_prussian_constitutionalism;Spartan;Spartan;Spartan;;;;;;;;;;;x;
SPR_hms_government;Spartan;Spartan;Spartan;;;;;;;;;;;x;
SPR_democracy;Spartan;Spartan;Spartan;;;;;;;;;;;x;
SPR_conservative_92;Conservatives;Conservatives;Conservatives;;;;;;;;;;;x;
SPR_liberal_79;Liberals;Liberals;Liberals;;;;;;;;;;;x;
SPR_liberal_87;National Liberals;National Liberals;National Liberals;;;;;;;;;;;x;
SPR_socialist_85;Socialists;Socialists;Socialists;;;;;;;;;;;x;
SPR_socialist_99;National Socialists;National Socialists;National Socialists;;;;;;;;;;;x;
SPR_reactionary_84;Monarchy Leadership;Monarchy Leadership;Monarchy Leadership;;;;;;;;;;;x;
SPR_anarcho_liberal_93;Radical Liberals;Radical Liberals;Radical Liberals;;;;;;;;;;;x;
SPR_communist_86;Communists;Communists;Communists;;;;;;;;;;;x;
SPR_fascist_72;Fascists;Fascists;Fascists;;;;;;;;;;;x;
