SUS_ADJ;Sussexian;Sussexian;Sussexian;;;;;;;;;;;x;
SUS;Sussex;Sussex;Sussex;;;;;;;;;;;x;
SUS_proletarian_dictatorship;Sussex;Sussex;Sussex;;;;;;;;;;;x;
SUS_presidential_dictatorship;Sussex;Sussex;Sussex;;;;;;;;;;;x;
SUS_bourgeois_dictatorship;Sussex;Sussex;Sussex;;;;;;;;;;;x;
SUS_fascist_dictatorship;Sussex;Sussex;Sussex;;;;;;;;;;;x;
SUS_absolute_monarchy;Sussex;Sussex;Sussex;;;;;;;;;;;x;
SUS_prussian_constitutionalism;Sussex;Sussex;Sussex;;;;;;;;;;;x;
SUS_hms_government;Sussex;Sussex;Sussex;;;;;;;;;;;x;
SUS_democracy;Sussex;Sussex;Sussex;;;;;;;;;;;x;
SUS_conservative_92;Conservatives;Conservatives;Conservatives;;;;;;;;;;;x;
SUS_liberal_79;Liberals;Liberals;Liberals;;;;;;;;;;;x;
SUS_liberal_87;National Liberals;National Liberals;National Liberals;;;;;;;;;;;x;
SUS_socialist_85;Socialists;Socialists;Socialists;;;;;;;;;;;x;
SUS_socialist_99;National Socialists;National Socialists;National Socialists;;;;;;;;;;;x;
SUS_reactionary_84;Monarchy Leadership;Monarchy Leadership;Monarchy Leadership;;;;;;;;;;;x;
SUS_anarcho_liberal_93;Radical Liberals;Radical Liberals;Radical Liberals;;;;;;;;;;;x;
SUS_communist_86;Communists;Communists;Communists;;;;;;;;;;;x;
SUS_fascist_72;Fascists;Fascists;Fascists;;;;;;;;;;;x;
